115年01月臺北市各里人口數戶數,,,,,,,,,
行政區,里別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,人口數-合計,人口數-男,人口數-女
北投區,福興里,1,1,20,20,2741,6985,3339,3646
北投區,榮光里,1,1,24,24,2829,7452,3537,3915
北投區,榮華里,1,1,21,21,3071,7249,3341,3908
北投區,裕民里,1,1,24,24,3263,7550,3483,4067
北投區,振華里,1,1,27,27,2918,7198,3412,3786
北投區,永和里,1,1,24,24,3926,9200,4300,4900
北投區,永欣里,1,1,23,23,3729,8245,3742,4503
北投區,永明里,1,1,12,12,1892,4785,2245,2540
北投區,東華里,1,1,18,18,1661,4348,2031,2317
北投區,吉利里,1,1,23,23,2672,7049,3279,3770
北投區,吉慶里,1,1,18,18,2043,5292,2517,2775
北投區,尊賢里,1,1,20,20,1758,4644,2175,2469
北投區,立賢里,1,1,16,16,2039,5352,2534,2818
北投區,立農里,1,1,25,25,3675,9351,4411,4940
北投區,八仙里,1,1,18,18,2296,5276,2511,2765
北投區,洲美里,1,1,5,5,897,2380,1173,1207
北投區,奇岩里,1,1,28,28,4969,10924,5165,5759
北投區,清江里,1,1,27,27,3561,8046,3851,4195
北投區,中央里,1,1,28,28,3325,7600,3622,3978
北投區,長安里,1,1,23,23,2865,5847,2710,3137
北投區,大同里,1,1,18,18,2551,5616,2648,2968
北投區,溫泉里,1,1,23,23,2852,6186,2870,3316
北投區,林泉里,1,1,17,17,1584,2996,1480,1516
北投區,中心里,1,1,21,20,3291,6346,2883,3463
北投區,中庸里,1,1,15,15,1639,3609,1731,1878
北投區,開明里,1,1,26,26,2682,6150,2920,3230
北投區,中和里,1,1,19,19,2025,4600,2140,2460
北投區,智仁里,1,1,21,21,2262,5605,2604,3001
北投區,秀山里,1,1,15,15,1219,2992,1456,1536
北投區,文化里,1,1,14,14,1595,3751,1845,1906
北投區,豐年里,1,1,16,16,1629,3914,1894,2020
北投區,稻香里,1,1,16,16,2461,5373,2591,2782
北投區,桃源里,1,1,17,17,2429,5704,2769,2935
北投區,一德里,1,1,23,23,4254,8569,4415,4154
北投區,關渡里,1,1,28,28,4277,10149,4822,5327
北投區,泉源里,1,1,16,16,882,2181,1147,1034
北投區,湖山里,1,1,18,18,659,1387,749,638
北投區,大屯里,1,1,10,10,440,1112,596,516
